paper_id,methods,model1,model2,model3,model4,model5,model6
semantic-based-end-to-end-learning-for,"Tanh Activation, LSTM, Sigmoid Activation, BiLSTM",LSTM,BiLSTM,,,,
digit-recognition-using-convolution-neural,"Convolution, SVM",SVM,,,,,
botnet-detection-using-recurrent-variational,AutoEncoder,Autoencoder,,,,,
nbdt-neural-backed-decision-trees,"Average Pooling, Dense Connections, EfficientNet, Depthwise Separable Convolution, RMSProp, Depthwise Convolution, Sigmoid Activation, Squeeze-and-Excitation Block, Pointwise Convolution, Convolution, 1x1 Convolution, ReLU, Dropout, Swish, Inverted Residual Block, Batch Normalization, Linear Layer",EfficientNet,,,,,
a-hybrid-residual-dilated-lstm-end,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
multi-class-classification-of-vulnerabilities,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
deep-learning-for-stock-market-prediction,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
improved-code-summarization-via-a-graph,Graph Neural Network,GNN,,,,,
leveraging-the-inherent-hierarchy-of-vacancy,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
falcon-honest-majority-maliciously-secure,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Grouped Convolution, Batch Normalization",AlexNet,,,,,
using-machine-learning-approach-for,Linear Regression,Linear Regression,,,,,
mapping-individual-differences-in-cortical,AutoEncoder,Autoencoder,,,,,
computer-vision-and-abnormal-patient-gait,SVM,SVM,,,,,
increasing-the-inference-and-learning-speed,Logistic Regression,Logistic Regression,,,,,
deepstreamce-a-streaming-approach-to-concept,AutoEncoder,Autoencoder,,,,,
file-classification-based-on-spiking-neural,Logistic Regression,Logistic Regression,,,,,
orthant-based-proximal-stochastic-gradient,"Average Pooling, Dense Connections, Global Average Pooling, Pointwise Convolution, MobileNetV1, Convolution, Softmax, Depthwise Separable Convolution, 1x1 Convolution, ReLU, Depthwise Convolution, Feature Selection, Batch Normalization",LeNet,MobileNetV1,,,,
cnn2gate-toward-designing-a-general-framework,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, VGG, 1x1 Convolution, ReLU, Dropout, Grouped Convolution",VGG,AlexNet,,,,
performance-accuration-method-of-machine,"Logistic Regression, k-NN",Logistic Regression,,,,,
data-augmentation-using-generative-networks,AutoEncoder,Autoencoder,,,,,
scenario-optimization-with-relaxation-a-new,SVM,SVM,,,,,
joint-user-pairing-and-association-for,"Pointer Network, Tanh Activation, LSTM, Sigmoid Activation, Additive Attention, Softmax",LSTM,,,,,
asymmetrically-vertical-federated-learning,Logistic Regression,Logistic Regression,,,,,
machine-learning-for-multiple-yield-curve,"Gaussian Process, Adam",Gaussian Process,,,,,
machine-learning-prediction-errors-better,Linear Regression,Linear Regression,,,,,
gevo-gpu-code-optimization-using,SVM,SVM,,,,,
recommendation-system-using-a-deep-learning,"AutoEncoder, node2vec",Autoencoder,,,,,
yurugan-yuru-chara-mascot-generator-using,"GAN, Convolution",GAN,,,,,
counterfactual-confounding-adjustment-for,"Logistic Regression, Softmax",Logistic Regression,,,,,
adversarial-training-for-large-neural,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, RoBERTa, Weight Decay",BERT,RoBERTa,,,,
lightweight-mask-r-cnn-for-long-range,"Mask R-CNN, RPN, RoIAlign, Convolution, Softmax",CNN,,,,,
learning-to-rank-with-bert-in-tf-ranking,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, ELECTRA, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, RoBERTa, Weight Decay",BERT,ELECTRA,RoBERTa,,,
a-mathematical-programming-approach-to-binary,SVM,SVM,,,,,
a-novel-embedded-min-max-approach-for-feature,"SVM, Feature Selection",SVM,,,,,
predicting-nucleation-near-the-spinodal-in,Logistic Regression,Logistic Regression,,,,,
dependency-based-neural-representations-for,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
deepbedmap-using-a-deep-neural-network-to,GAN,GAN,,,,,
deeply-uncertain-comparing-methods-of,"Deep Ensembles, Dropout, Concrete Dropout",Ensemble,,,,,
automatic-detection-of-coronavirus-disease-1,"ResNet, Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, DenseNet, Depthwise Separable Convolution, Depthwise Convolution, Xception, Residual Connection, Bottleneck Residual Block, Pointwise Convolution, Softmax, Residual Block, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dense Block, Dropout, Kaiming Initialization, Batch Normalization",Xception,ResNet,DenseNet,,,
normalizing-flow-regression,Linear Regression,Linear Regression,,,,,
active-learning-for-gaussian-process,"Gaussian Process, Linear Regression",Linear Regression,Gaussian Process,,,,
statistical-characterization-and,"Gaussian Process, Logistic Regression",Logistic Regression,Gaussian Process,,,,
learning-decision-ensemble-using-a-graph,Graph Neural Network,GNN,,,,,
a-systematic-search-over-deep-convolutional,"Residual Connection, Average Pooling, Dense Connections, Global Average Pooling, Pointwise Convolution, Convolution, Softmax, Max Pooling, Depthwise Separable Convolution, 1x1 Convolution, ReLU, Depthwise Convolution, Xception",Xception,,,,,
improvement-in-land-cover-and-crop,"R-CNN, Convolution, Max Pooling, SVM",SVM,CNN,,,,
evolving-inborn-knowledge-for-fast-adaptation,"SPEED, AutoEncoder",Autoencoder,,,,,
colbert-using-bert-sentence-embedding-for,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
augmenting-transformers-with-knn-based-1,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
hybrid-neuro-evolutionary-method-for,"AutoEncoder, k-Means Clustering",Autoencoder,,,,,
scelmo-source-code-embeddings-from-language-1,"Tanh Activation, LSTM, Sigmoid Activation, ELMo, Softmax, BiLSTM",ELMo,LSTM,BiLSTM,,,
autoencoding-neural-networks-as-musical-audio,AutoEncoder,Autoencoder,,,,,
the-impact-of-the-mini-batch-size-on-the,"Linear Regression, SGD",Linear Regression,,,,,
netml-a-challenge-for-network-traffic,SVM,SVM,,,,,
development-of-a-machine-learning-system-to,SVM,SVM,,,,,
investigating-the-effectiveness-of,"Adam, Dropout, Linear Layer, Attention Dropout, ALBERT, GELU, Dense Connections, LAMB, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,ALBERT,,,,
neural-additive-models-interpretable-machine,"Logistic Regression, NAM",Logistic Regression,,,,,
a-natural-language-processing-pipeline-of,SVM,SVM,,,,,
sentiment-analysis-of-yelp-reviews-a,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, LSTM, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Tanh Activation, Logistic Regression, Layer Normalization, Sigmoid Activation, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,Logistic Regression,LSTM,,,
skipgnn-predicting-molecular-interactions,Graph Neural Network,GNN,,,,,
binary-autoencoder-with-random-binary-weights,AutoEncoder,Autoencoder,,,,,
generalization-error-of-generalized-linear,Linear Regression,Linear Regression,,,,,
lupulus-a-flexible-hardware-accelerator-for,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, VGG, 1x1 Convolution, ReLU, Dropout, Grouped Convolution",VGG,AlexNet,,,,
explaining-how-deep-neural-networks-forget-by,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, Average Pooling",ResNet,,,,,
deep-convolutional-neural-networks-to,"Residual Connection, Average Pooling, Dense Connections, Global Average Pooling, Pointwise Convolution, Softmax, Convolution, Max Pooling, Depthwise Separable Convolution, 1x1 Convolution, Adam, ReLU, Depthwise Convolution, Xception",Xception,,,,,
data-augmentation-via-mixed-class,"Convolution, Residual Block, Cycle Consistency Loss, GAN Least Squares Loss, ReLU, Batch Normalization, Tanh Activation, Residual Connection, CycleGAN, Mixup, Sigmoid Activation, Leaky ReLU, PatchGAN, Instance Normalization",GAN,,,,,
long-short-term-memory-networks-and-laglasso,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
using-machine-learning-to-emulate-agent-based,Gaussian Process,Gaussian Process,,,,,
automatic-plant-image-identification-of,"ResNet, Average Pooling, Global Average Pooling, Depthwise Separable Convolution, Depthwise Convolution, Residual Connection, Bottleneck Residual Block, Pointwise Convolution, Convolution, Residual Block, Max Pooling, MobileNetV2, 1x1 Convolution, ReLU, Kaiming Initialization, Inverted Residual Block, Batch Normalization",ResNet,LeNet,MobileNetV2,,,
one-step-regression-and-classification-with,"Linear Regression, Logistic Regression",Logistic Regression,Linear Regression,,,,
interpreting-rate-distortion-of-variational,"AutoEncoder, VAE",VAE,Autoencoder,,,,
estimating-blood-pressure-from,"Gaussian Process, Feature Selection",Gaussian Process,,,,,
a-locally-adaptive-interpretable-regression,Linear Regression,Linear Regression,,,,,
covid-19-growth-prediction-using-multivariate,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
autoclint-the-winning-method-in-autocv,"Tanh Activation, LSTM, Sigmoid Activation, AutoAugment, Fast AutoAugment",LSTM,,,,,
machine-learning-based-digital-twin-for,Gaussian Process,Gaussian Process,,,,,
perturbing-inputs-to-prevent-model-stealing,Logistic Regression,Logistic Regression,,,,,
segmenting-scientific-abstracts-into,"Tanh Activation, LSTM, CRF, Sigmoid Activation, LSH Attention, GloVe, BiLSTM",LSTM,BiLSTM,,,,
phishing-url-detection-through-top-level,SVM,SVM,,,,,
cross-lingual-transfer-of-twitter-sentiment,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
when-to-lift-the-lockdown-global-covid-19,Gaussian Process,Gaussian Process,,,,,
blaze-blazing-fast-privacy-preserving-machine,"Linear Regression, Logistic Regression",Logistic Regression,Linear Regression,,,,
should-we-hard-code-the-recurrence-concept-or,"LSTM, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Tanh Activation, Residual Connection, Layer Normalization, Sigmoid Activation, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, ReLU, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,LSTM,,,,
an-lstm-approach-to-predict-migration-based,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
learning-semantic-program-embeddings-with,Graph Neural Network,GNN,,,,,
unsupposable-test-data-generation-for-machine,"AutoEncoder, VAE",VAE,Autoencoder,,,,
swift-super-fast-and-robust-privacy,Logistic Regression,Logistic Regression,,,,,
comparative-study-of-machine-learning-models,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
on-compression-rate-of-quantum-autoencoders,AutoEncoder,Autoencoder,,,,,
global-optimization-of-gaussian-processes,Gaussian Process,Gaussian Process,,,,,
covid-19-public-sentiment-insights-and,Logistic Regression,Logistic Regression,,,,,
mango-a-python-library-for-parallel,"Gaussian Process, Random Search, Tree-structured Parzen Estimator Approach (TPE)",Gaussian Process,,,,,
consistency-of-empirical-bayes-and-kernel,Gaussian Process,Gaussian Process,,,,,
analyzing-elmo-and-distilbert-on-socio,"Adam, Dropout, Linear Layer, Attention Dropout, Memory Network, GELU, LSTM, Dense Connections, ELMo, BiLSTM, Multi-Head Attention, DistilBERT, WordPiece, Tanh Activation, Residual Connection, Sigmoid Activation, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,ELMo,LSTM,BiLSTM,,
implementation-of-supervised-training,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
detecting-direct-speech-in-multilingual,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, ReLU, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,,,,,
asu-opto-at-osact4-offensive-language,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, ReLU, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,,,,,
understanding-user-utterances-in-a-dialog,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
decop-a-multilingual-and-multi-domain-corpus,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, ReLU, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,,,,,
abusive-language-in-spanish-children-and,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
clfd-a-novel-vectorization-technique-and-its,Logistic Regression,Logistic Regression,,,,,
comparing-methods-for-measuring-dialect,AutoEncoder,Autoencoder,,,,,
evaluation-of-manual-and-non-manual,Logistic Regression,Logistic Regression,,,,,
path-imputation-strategies-for-signature,Gaussian Process,Gaussian Process,,,,,
causalm-causal-model-explanation-through,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
safeml-safety-monitoring-of-machine-learning,"Gaussian Process, Feedforward Network, Dense Connections, SVM",SVM,Gaussian Process,,,,
semi-supervised-source-localization-with-deep,VAE,VAE,,,,,
comparing-bert-against-traditional-machine,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
codebook-based-beam-tracking-for-conformal,Gaussian Process,Gaussian Process,,,,,
network-fusion-for-content-creation-with,"Batch Normalization, Attention Dropout, GELU, GAN Hinge Loss, Spectral Normalization, Dense Connections, WordPiece, Residual Connection, Non-Local Block, Layer Normalization, Scaled Dot-Product Attention, Softmax, Weight Decay, 1x1 Convolution, Dropout, Linear Layer, Truncation Trick, BigGAN, Projection Discriminator, Multi-Head Attention, Feedforward Network, TTUR, Linear Warmup With Linear Decay, Conditional Batch Normalization, BERT, Early Stopping, SAGAN Self-Attention Module, SAGAN, Dot-Product Attention, Residual Block, Convolution, Non-Local Operation, Off-Diagonal Orthogonal Regularization, Adam, ReLU",BERT,GAN,BigGAN,,,
using-machine-learning-to-forecast-future,Logistic Regression,Logistic Regression,,,,,
review-of-mathematical-frameworks-for,Linear Regression,Linear Regression,,,,,
detection-of-bangla-fake-news-using-mnb-and,SVM,SVM,,,,,
learning-how-to-learn-within-an-lsm-based-key,Linear Regression,Linear Regression,,,,,
using-generative-models-for-pediatric-wbmri,"Leaky ReLU, Path Length Regularization, Convolution, StyleGAN2, R1 Regularization, Weight Demodulation",GAN,StyleGAN2,StyleGAN,,,
adahessian-an-adaptive-second-order-optimizer,"Average Pooling, Dense Connections, Global Average Pooling, Label Smoothing, Bottleneck Residual Block, Residual Connection, AdaHessian, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, 1x1 Convolution, AdamW, Dropout, Linear Layer, ResNet, Transformer, Multi-Head Attention, AdaGrad, SGD, Convolution, Residual Block, Max Pooling, Adam, ReLU, Absolute Position Encodings, Kaiming Initialization, BPE, Batch Normalization",Transformer,ResNet,,,,
high-fidelity-audio-generation-and,AutoEncoder,Autoencoder,,,,,
a-hierarchical-deep-convolutional-neural,"Memory Network, GRU",GRU,,,,,
a2-link-recognizing-disguised-faces-via,"Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, DenseNet, ArcFace, Convolution, Softmax, Max Pooling, 1x1 Convolution, Dense Block, ReLU, Dropout, Kaiming Initialization, Batch Normalization",DenseNet,,,,,
a-comparative-study-of-2d-image-segmentation,UNet++,U-Net++,U-Net,,,,
resolving-class-imbalance-in-object-detection,"RPN, RoIPool, Convolution, Softmax, Faster R-CNN, Focal Loss",CNN,Faster R-CNN,,,,
transfer-learning-for-british-sign-language-1,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
automatic-text-summarization-of-covid-19,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Linear Warmup With Cosine Annealing, Adam, BPE, Dropout, Linear Layer, Discriminative Fine-Tuning, Attention Dropout, GELU, Dense Connections, Cosine Annealing, Multi-Head Attention, GPT-2, WordPiece, Residual Connection",BERT,GPT,,,,
variational-mutual-information-maximization,"AutoEncoder, VAE",VAE,Autoencoder,,,,
a-novel-update-mechanism-for-q-networks-based,"SPEED, Q-Learning",Q-Learning,,,,,
semi-supervised-and-unsupervised-methods-for-1,"AutoEncoder, SVM",SVM,Autoencoder,,,,
learning-to-rank-learning-curves-1,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
inject-machine-learning-into-significance,Linear Regression,Linear Regression,,,,,
predicting-molecular-dipole-moments-by,Gaussian Process,Gaussian Process,,,,,
a-geometric-look-at-double-descent-risk,Linear Regression,Linear Regression,,,,,
health-indicator-forecasting-for-improving,Gaussian Process,Gaussian Process,,,,,
sparse-gaussian-processes-via-parametric,Gaussian Process,Gaussian Process,,,,,
an-overview-of-neural-network-compression,"Knowledge Distillation, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, ReLU, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,,,,,
detecting-problem-statements-in-peer,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Logistic Regression, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, GloVe, Softmax, Weight Decay",BERT,Logistic Regression,,,,
bert-xml-large-scale-automated-icd-coding,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
coresets-for-near-convex-functions,"Coresets, SVM",SVM,,,,,
fast-modeling-and-understanding-fluid,"Tanh Activation, LSTM, Sigmoid Activation, SPEED, AutoEncoder",LSTM,Autoencoder,,,,
ar-dae-towards-unbiased-neural-entropy,"Denoising Autoencoder, AutoEncoder",Autoencoder,,,,,
automated-quantification-of-ct-patterns,Logistic Regression,Logistic Regression,,,,,
interpretable-signal-analysis-with-knockoffs,Logistic Regression,Logistic Regression,,,,,
a-comparative-study-on-early-detection-of,"Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, CheXNet, DenseNet, Convolution, Softmax, Max Pooling, 1x1 Convolution, Dense Block, ReLU, Dropout, Kaiming Initialization, Batch Normalization",CheXNet,DenseNet,,,,
data-augmentation-for-enhancing-eeg-based,"WGAN, AutoEncoder, VAE, Convolution",GAN,VAE,Autoencoder,,,
multiplicative-noise-and-heavy-tails-in,"Linear Regression, SGD, Adam",Linear Regression,,,,,
machine-learning-model-to-cluster-and-map,SVM,SVM,,,,,
dance-revolution-long-sequence-dance,"LSTM, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Tanh Activation, Layer Normalization, Sigmoid Activation, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, ReLU, Adam, Seq2Seq, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,Seq2Seq,LSTM,,,
fourier-sparse-leverage-scores-and,Gaussian Process,Gaussian Process,,,,,
learning-effective-representations-for-person,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
interaction-networks-using-a-reinforcement,"DQN, Dense Connections, Q-Learning, Convolution",Q-Learning,,,,,
societal-biases-reinforcement-through-machine,SVM,SVM,,,,,
robust-variational-autoencoder-for-tabular,AutoEncoder,Autoencoder,,,,,
explaining-predictions-by-approximating-the,AutoEncoder,Autoencoder,,,,,
sub-seasonal-climate-forecasting-via-machine,Linear Regression,Linear Regression,,,,,
gp3-a-sampling-based-analysis-framework-for,Gaussian Process,Gaussian Process,,,,,
defending-support-vector-machines-against,SVM,SVM,,,,,
high-dimensional-similarity-search-with,"AutoEncoder, VAE",VAE,Autoencoder,,,,
subjective-question-answering-deciphering-the,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, ReLU, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,,,,,
a-survey-of-constrained-gaussian-process,Gaussian Process,Gaussian Process,,,,,
unified-svm-algorithm-based-ls-dc-loss,SVM,SVM,,,,,
relational-fusion-networks-graph,GCN,GCN,,,,,
learning-to-map-source-code-to-software,Graph Neural Network,GNN,,,,,
modelling-high-level-mathematical-reasoning,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, ReLU, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,,,,,
comparative-sentiment-analysis-of-app-reviews,SVM,SVM,,,,,
toward-theory-of-applied-learning-what-is,"k-NN, SVM",SVM,,,,,
sarcasm-identification-and-detection-in,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
automatic-extraction-of-personal-events-from,SVM,SVM,,,,,
mapping-of-narrative-text-fields-to-icd-10,Logistic Regression,Logistic Regression,,,,,
sarcasm-detection-in-tweets-with-bert-and-1,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, GloVe, Softmax, Weight Decay",BERT,,,,,
deep-belief-network-based-representation,Graph Neural Network,GNN,,,,,
statistical-mechanics-of-generalization-in,Linear Regression,Linear Regression,,,,,
the-macroeconomy-as-a-random-forest,Linear Regression,Linear Regression,,,,,
distributionally-robust-machine-learning,Linear Regression,Linear Regression,,,,,
active-online-domain-adaptation,Linear Regression,Linear Regression,,,,,
green-machine-learning-via-augmented-gaussian,"Gaussian Process, SVM",SVM,Gaussian Process,,,,
on-the-difficulty-of-designing-processor,"ResNet, Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, DenseNet, Residual Connection, Bottleneck Residual Block, Residual Block, Convolution, Softmax, Max Pooling, 1x1 Convolution, Dense Block, ReLU, Kaiming Initialization, Dropout, Batch Normalization",ResNet,DenseNet,,,,
real-time-prediction-of-bitcoin-price-using,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
validating-psychometric-survey-responses,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
predicting-customer-churn-in-world-of,Logistic Regression,Logistic Regression,,,,,
conditional-set-generation-with-transformers,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, ReLU, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,,,,,
do-not-forget-interaction-predicting-fatality,Logistic Regression,Logistic Regression,,,,,
gshard-scaling-giant-models-with-conditional,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, GShard, Position-Wise Feed-Forward Layer, ReLU, Adam, Absolute Position Encodings, BPE, Dropout, Linear Layer",Transformer,,,,,
data-movement-is-all-you-need-a-case-study-of,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
bidirectional-encoder-representations-from,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, LSTM, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Tanh Activation, Layer Normalization, Sigmoid Activation, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,LSTM,,,,
high-dimensional-bayesian-optimization,"Gaussian Process, PCA",Gaussian Process,,,,,
can-we-achieve-more-with-less-exploring-data,"Memory Network, Logistic Regression",Logistic Regression,,,,,
gaussian-process-regression-with-local,Gaussian Process,Gaussian Process,,,,,
efficient-computation-and-analysis-of,Linear Regression,Linear Regression,,,,,
coded-distributed-computing-with-partial,"Linear Regression, SPEED",Linear Regression,,,,,
estimation-of-ground-contacts-from-human-gait,SVM,SVM,,,,,
sentiment-polarity-detection-on-bengali-book,SVM,SVM,,,,,
blockflow-an-accountable-and-privacy,Logistic Regression,Logistic Regression,,,,,
cooking-is-all-about-people-comment,"Weight Decay, Adam, BPE, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, XLM, Multi-Head Attention, WordPiece, DistilBERT, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax",BERT,XLM,,,,
a-survey-of-real-time-social-based-traffic,SVM,SVM,,,,,
winning-with-simple-learning-models-detecting,Logistic Regression,Logistic Regression,,,,,
understanding-the-effect-of-hyperparameter,"Gaussian Process, SVM",SVM,Gaussian Process,,,,
an-interpretable-baseline-for-time-series,SVM,SVM,,,,,
mts-cyclegan-an-adversarial-based-deep,"Cycle Consistency Loss, ReLU, GAN Least Squares Loss, Batch Normalization, Tanh Activation, Residual Connection, CycleGAN, Sigmoid Activation, PatchGAN, Leaky ReLU, AutoEncoder, Instance Normalization, Convolution, Residual Block",GAN,Autoencoder,,,,
highway-traffic-state-estimation-using,Gaussian Process,Gaussian Process,,,,,
numerical-simulation-clustering-and,"Gaussian Process, AutoEncoder",Autoencoder,Gaussian Process,,,,
learning-perturbation-sets-for-robust-machine,AutoEncoder,Autoencoder,,,,,
